typename,code,institution,specialty,Type,program,quota,matched
Anesthesiology,1007040A0,1007,40,A,0,19,19
Anesthesiology,1015040A0,1015,40,A,0,12,12
Anesthesiology,1024040A0,1024,40,A,0,15,15
Anesthesiology,1032040A0,1032,40,A,0,4,4
Anesthesiology,1033040A0,1033,40,A,0,18,18
Anesthesiology,1043040A0,1043,40,A,0,8,8
Anesthesiology,1046040A0,1046,40,A,0,12,12
Anesthesiology,1049040A0,1049,40,A,0,12,12
Anesthesiology,1062040A0,1062,40,A,0,14,9
Anesthesiology,1067040A0,1067,40,A,0,4,4
Anesthesiology,1076040A0,1076,40,A,0,11,11
Anesthesiology,1089040A0,1089,40,A,0,18,18
Anesthesiology,1094040A0,1094,40,A,0,4,4
Anesthesiology,1104040A0,1104,40,A,0,7,7
Anesthesiology,1113040A0,1113,40,A,0,14,14
Anesthesiology,1147040A0,1147,40,A,0,5,5
Anesthesiology,1160040A0,1160,40,A,0,9,9
Anesthesiology,1170040A0,1170,40,A,0,4,3
Anesthesiology,1187040A0,1187,40,A,0,21,21
Anesthesiology,1208040A0,1208,40,A,0,8,5
Anesthesiology,1217040A0,1217,40,A,0,2,0
Anesthesiology,1242040A0,1242,40,A,0,19,15
Anesthesiology,1252040A0,1252,40,A,0,12,12
Anesthesiology,1256040A0,1256,40,A,0,16,16
Anesthesiology,1257040A0,1257,40,A,0,9,9
Anesthesiology,1261040A0,1261,40,A,0,20,20
Anesthesiology,1263040A0,1263,40,A,0,6,6
Anesthesiology,1265040A0,1265,40,A,0,21,21
Anesthesiology,1266040A0,1266,40,A,0,6,6
Anesthesiology,1286040A0,1286,40,A,0,1,1
Anesthesiology,1300040A0,1300,40,A,0,4,4
Anesthesiology,1328040A0,1328,40,A,0,9,9
Anesthesiology,1334040A0,1334,40,A,0,3,3
Anesthesiology,1353040A0,1353,40,A,0,6,6
Anesthesiology,1376040A0,1376,40,A,0,8,8
Anesthesiology,1377040A0,1377,40,A,0,2,2
Anesthesiology,1380040A0,1380,40,A,0,3,3
Anesthesiology,1398040A0,1398,40,A,0,8,8
Anesthesiology,1406040A0,1406,40,A,0,4,4
Anesthesiology,1426040A0,1426,40,A,0,9,9
Anesthesiology,1428040A0,1428,40,A,0,5,5
Anesthesiology,1429040A0,1429,40,A,0,1,0
Anesthesiology,1448040A0,1448,40,A,0,5,5
Anesthesiology,1490040A0,1490,40,A,0,18,18
Anesthesiology,1495040A0,1495,40,A,0,16,16
